cntry,eneffap,rdcenr,cflsenr,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt1,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,
AT,8,4,10,5,5,1,5,1,1,1,2,3,4,4,2,2,2,3,1,6,4,4,8,4,10,10,0,0,0,1,1,2,
AT,10,5,3,5,2,2,5,2,5,5,1,2,2,3,1,1,2,2,1,6,4,4,7,4,2,8,3,4,6,1,2,2,
AT,9,4,3,5,4,2,5,1,1,4,3,4,3,3,3,2,3,3,1,6,4,4,8,4,2,6,1,3,1,4,2,2,
AT,10,4,7,3,3,3,4,2,3,4,2,2,2,2,3,3,3,3,2,6,3,3,6,3,7,5,6,5,6,3,3,3,
AT,10,6,10,5,2,3,3,1,1,3,1,1,1,3,1,1,4,5,1,6,2,4,6,4,5,10,10,2,7,3,1,4,
AT,8,4,7,2,2,2,5,1,1,3,3,3,8,8,3,8,3,3,2,6,3,3,5,3,5,5,5,5,3,4,1,1,
AT,6,3,5,4,3,2,3,1,1,4,1,1,2,1,2,1,3,2,2,6,1,4,0,2,5,5,2,1,0,5,2,3,
AT,10,3,7,5,3,2,5,1,1,2,2,3,3,3,3,2,2,2,1,6,3,4,8,4,3,5,4,3,6,4,1,1,
AT,8,2,7,3,2,5,4,3,3,2,2,2,3,2,1,1,1,2,2,6,2,2,7,2,4,7,7,7,8,2,1,1,
AT,7,3,8,2,3,3,2,1,1,2,3,3,2,2,2,3,2,3,2,6,3,2,7,3,5,7,7,6,7,2,3,2,
AT,88,5,10,5,5,1,5,1,1,2,1,1,1,1,1,1,1,1,2,6,1,4,0,2,2,88,0,2,2,5,2,5,
AT,8,3,5,4,4,2,5,1,1,3,1,3,2,1,2,2,2,2,1,6,4,5,7,4,1,8,0,2,6,2,2,2,
AT,7,3,8,2,1,4,3,3,2,4,3,3,4,3,4,3,2,3,3,6,2,3,8,2,6,5,5,6,7,2,1,3,
AT,8,4,8,5,4,1,1,1,2,2,3,3,3,3,3,2,2,4,2,6,3,5,8,4,1,7,1,3,6,3,3,4,
AT,7,4,1,3,3,1,55,1,3,3,4,4,4,2,4,3,3,4,2,6,2,5,4,3,3,5,4,5,1,3,2,1,
AT,5,3,6,5,5,1,5,1,1,2,1,1,1,1,1,1,1,1,2,6,1,4,8,1,8,6,7,6,8,4,2,4,
AT,10,4,10,4,1,1,5,1,1,2,1,1,3,1,1,1,1,1,2,6,3,3,6,2,5,6,4,1,4,4,2,3,
AT,8,2,7,5,4,1,5,1,3,2,2,3,2,2,2,2,2,2,1,6,4,4,6,3,3,7,2,2,5,2,2,2,
AT,10,5,7,4,4,1,5,1,2,3,1,2,2,2,2,1,1,2,1,6,5,3,8,3,2,6,5,3,6,3,1,3,
AT,8,4,3,4,5,1,5,2,1,1,2,5,4,3,1,2,2,3,1,6,3,3,8,4,3,3,4,5,3,5,2,2,
AT,5,2,2,5,5,1,5,1,1,2,1,1,1,1,2,1,1,1,3,6,1,2,2,1,2,0,3,1,2,5,5,3,
AT,10,3,4,55,55,1,55,1,1,3,1,2,2,1,3,1,3,3,1,6,3,4,1,2,4,5,4,0,3,3,2,2,
AT,7,5,7,3,2,5,1,1,2,2,3,3,2,3,3,3,2,3,2,6,3,3,7,3,8,5,6,4,6,3,4,1,
AT,6,4,7,2,3,2,4,3,3,2,2,3,3,3,2,3,3,2,3,6,3,2,7,3,8,6,6,7,8,2,3,4,
AT,10,3,5,4,4,1,5,1,1,4,3,4,2,3,2,3,2,2,2,6,2,3,5,3,2,2,2,3,1,8,8,8,
AT,10,6,10,4,4,5,5,1,1,1,1,3,3,3,1,1,1,1,1,6,4,5,10,3,0,6,4,7,8,2,1,1,
