"Gemeenten";"Bevolking totaal";"Bevolking totaal vrouwen";"Bevolkingsdichtheid";"Bevolking totaal mannen";"Gemiddelde leeftijd bevolking";"Gemiddelde leeftijd mannen";"Gemiddelde leeftijd vrouwen";"Bevolking leeftijd -4 jaar";"Totaalscore Leefbaarometer 2.0 (label)"
"Aa en Hunze";25286;12683;91;12603;46,5;45,3;47,6;936;8
"Aalburg";13067;6452;246;6615;39,6;38,7;40,6;793;7
"Aalsmeer";31373;15857;972;15516;41,3;40,6;42,0;1607;6
"Aalten";27047;13422;279;13625;43,5;42,3;44,7;1230;7
"Achtkarspelen";27893;13708;268;14185;41,3;40,3;42,3;1482;6
"Alblasserdam";20008;10199;1989;9809;40,5;39,4;41,6;1273;6
"Albrandswaard";25105;12655;1057;12450;41,1;40,3;41,8;1369;7
"Alkmaar";108373;54714;924;53659;41,8;40,8;42,8;5664;7
"Almelo";72479;36314;1044;36165;41,7;40,7;42,7;3596;6
"Almere";200914;101241;808;99673;37,5;37,0;37,9;12224;6
"Alphen aan den Rijn";108915;54751;822;54164;41,3;40,6;42,0;5736;7
"Alphen-Chaam";10058;4937;108;5121;44,1;43,5;44,7;451;8
"Ameland";3633;1834;14;1799;43,6;42,6;44,6;179;6
"Amersfoort";154337;78394;2417;75943;39,0;38,0;39,9;9243;7
"Amstelveen";89294;46555;2026;42739;41,4;40,0;42,8;5280;7
"Amsterdam";844947;426820;3850;418127;38,1;37,8;38,4;47380;6
"Apeldoorn";160047;80556;469;79491;42,7;41,5;43,9;7924;7
"Appingedam";11971;6169;487;5802;44,9;43,6;46,2;537;6
"Arnhem";155699;77992;1533;77707;39,4;38,6;40,3;8581;6
"Assen";67551;34183;809;33368;42,0;40,7;43,2;3324;8
"Asten";16714;8110;234;8604;43,2;42,3;44,2;703;7
"Baarle-Nassau";6657;3276;87;3381;46,5;45,7;47,4;282;7
"Baarn";24529;12691;743;11838;44,4;42,9;45,9;1204;8
"Barendrecht";48344;24484;2225;23860;40,2;39,5;41,0;2752;7
"Barneveld";56376;28320;319;28056;38,1;37,1;39,0;4097;8
"Bedum";10479;5238;233;5241;43,1;42,2;44,0;531;8
"Beek";15951;8149;758;7802;46,2;45,5;46,8;603;7
"Beemster";9205;4625;128;4580;43,1;42,6;43,5;493;8
"Beesel";13405;6637;460;6768;44,5;43,4;45,6;545;7
"Bellingwedde";8919;4385;81;4534;47,5;46,5;48,5;321;6
"Berg en Dal";34764;17461;373;17303;45,3;44,1;46,5;1397;8
"Bergeijk";18342;9003;180;9339;43,7;43,0;44,3;787;7
"Bergen (L.)";13095;6563;121;6532;44,9;44,6;45,2;519;6
"Bergen (NH.)";29844;15459;248;14385;48,9;47,7;50,0;874;8
"Bergen op Zoom";66164;33419;710;32745;43,3;42,4;44,2;3169;6
"Berkelland";44238;22014;170;22224;44,7;43,7;45,7;1755;7
"Bernheze";30252;14994;335;15258;42,4;41,7;43,2;1375;7
"Best";29180;14567;831;14613;42,2;41,6;42,7;1344;7
"Beuningen";25424;12727;540;12697;42,8;42,0;43,5;1144;7
"Beverwijk";40709;20387;2026;20322;41,3;40,2;42,4;2195;6
"Binnenmaas";29122;14683;385;14439;44,0;43,2;44,7;1352;7
"Bladel";20063;9886;265;10177;43,0;42,2;43,9;946;7
"Blaricum";10201;5238;656;4963;45,1;44,0;46,2;552;8
"Bloemendaal";22826;11841;505;10985;45,6;44,1;47,1;969;9
"Bodegraven-Reeuwijk";33733;16832;381;16901;41,4;40,5;42,3;1870;7
"Boekel";10414;5088;302;5326;41,1;40,8;41,5;507;7
"Borger-Odoorn";25355;12709;91;12646;45,4;44,7;46,1;996;7
"Borne";22795;11384;871;11411;42,4;41,5;43,4;1261;8
"Borsele";22688;11217;117;11471;42,0;41,3;42,7;1213;7
"Boxmeer";28709;14240;252;14469;44,1;43,0;45,1;1095;7
"Boxtel";30655;15424;473;15231;42,9;42,1;43,6;1357;7
"Breda";182304;92710;1417;89594;40,8;39,9;41,6;9232;6
"Brielle";16833;8573;541;8260;44,2;43,4;45,0;746;6
"Bronckhorst";36410;18260;127;18150;45,8;45,1;46,6;1277;8
"Brummen";20843;10561;245;10282;45,3;44,3;46,3;828;8
"Brunssum";28358;14485;1635;13873;45,7;44,4;47,1;1077;7
"Bunnik";15156;7651;403;7505;43,2;42,0;44,5;836;8
"Bunschoten";21020;10527;604;10493;38,5;38,0;39,0;1327;7
"Buren";26348;13136;184;13212;42,5;41,9;43,2;1252;7
"Capelle aan den IJssel";66421;34341;4313;32080;42,0;40,8;43,2;3668;6
"Castricum";35216;17962;583;17254;44,9;43,9;45,8;1491;8
"Coevorden";35286;17692;118;17594;44,6;43,5;45,7;1545;7
"Cranendonck";20676;10272;265;10404;44,3;43,3;45,3;936;8
"Cromstrijen";12797;6452;182;6345;44,5;43,7;45,3;541;7
"Cuijk";24696;12386;433;12310;43,0;42,2;43,7;1180;6
"Culemborg";27864;14003;895;13861;41,3;40,2;42,3;1405;6
"Dalfsen";28070;13850;169;14220;42,3;41,6;43,0;1496;8
"Dantumadiel";18942;9406;216;9536;42,7;41,8;43,7;952;7
"De Bilt";42754;22320;637;20434;44,4;42,7;46,0;2086;7
"De Fryske Marren";51585;25597;94;25988;43,2;42,4;44,1;2442;7
"De Marne";10088;4988;42;5100;44,8;44,6;45,1;456;6
"De Ronde Venen";42763;21619;366;21144;43,2;42,4;44,0;1863;6
"De Wolden";23744;11891;105;11853;44,6;43,8;45,5;1049;8
"Delft";101381;47386;4214;53995;39,1;37,5;40,9;4539;6
"Delfzijl";24965;12405;110;12560;45,5;44,6;46,4;1029;6
"Den Haag";524882;265045;5349;259837;38,9;38,2;39,7;32275;6
"Den Helder";56020;28270;313;27750;43,8;42,7;44,8;2638;6
"Deurne";31933;15862;270;16071;43,2;42,3;44,1;1563;7
"Deventer";99295;50231;739;49064;40,9;40,0;41,8;5275;6
"Diemen";27272;14021;1942;13251;39,8;39,2;40,4;1441;6
"Dinkelland";26244;12832;148;13412;43,0;41,8;44,1;1111;8
"Doesburg";11341;5797;875;5544;44,8;43,9;45,6;418;6
"Doetinchem";57068;28809;716;28259;42,8;41,9;43,7;2776;7
"Dongen";25509;12780;858;12729;43,0;42,0;44,1;1149;7
"Dongeradeel";23901;11954;90;11947;42,5;41,8;43,2;1208;6
"Dordrecht";118731;60047;1194;58684;41,6;40,7;42,5;6260;6
"Drechterland";19384;9549;241;9835;42,4;41,9;42,9;942;7
"Drimmelen";26869;13397;225;13472;44,0;43,2;44,7;1139;7
"Dronten";40746;20244;96;20502;40,5;39,8;41,3;2006;7
"Druten";18563;9318;437;9245;42,2;41,3;43,1;793;7
"Duiven";25398;12870;722;12528;42,4;41,5;43,2;1078;8
"Echt-Susteren";31815;15818;304;15997;46,3;45,2;47,3;1201;8
"Edam-Volendam";35800;17889;448;17911;42,0;41,4;42,6;1662;7
"Ede";113421;57507;356;55914;40,2;39,4;41,1;6669;8
"Eemnes";8999;4565;267;4434;42,8;42,3;43,3;406;8
"Eemsmond";15656;7682;29;7974;44,1;43,4;44,8;681;7
"Eersel";18554;9143;223;9411;44,0;43,1;44,9;860;7
"Eijsden-Margraten";25297;12703;323;12594;45,4;44,9;45,9;1060;9
"Eindhoven";226868;110561;2553;116307;40,3;39,2;41,5;11014;6
"Elburg";23026;11558;349;11468;40,5;39,4;41,6;1426;7
"Emmen";107490;54029;310;53461;43,8;42,8;44,9;4688;7
"Enkhuizen";18479;9185;159;9294;42,7;41,5;43,8;930;6
"Enschede";158140;77652;1108;80488;40,3;39,1;41,5;7728;7
"Epe";32537;16406;207;16131;45,0;43,7;46,3;1431;8
