"","cntry","gndr","agea","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp"
"1","AT",2,34,120,4,180,8,8,3
"2","AT",1,52,120,5,120,6,6,5
"3","AT",2,68,30,2,6666,5,6,4
"4","AT",1,54,30,5,120,6,5,6
"5","AT",2,20,30,5,180,5,5,7
"6","AT",2,65,60,5,120,3,5,4
"7","AT",2,52,15,2,6666,7,7,6
"8","AT",2,44,45,4,30,7,7,7
"9","AT",2,22,10,5,120,9,10,10
"10","AT",2,41,60,4,120,5,3,4
"11","AT",2,57,30,1,6666,2,0,0
"12","AT",1,61,90,4,90,3,3,2
"13","AT",1,50,15,4,90,6,8,5
"14","AT",2,31,30,4,180,6,7,7
"15","AT",2,58,20,1,6666,1,1,1
"16","AT",1,28,15,5,120,6,8,7
"17","AT",1,58,30,5,11,10,10,10
"18","AT",1,51,30,5,360,6,6,6
"19","AT",2,65,30,4,60,6,8,4
"20","AT",2,61,15,5,150,2,5,2
"21","AT",2,999,30,1,6666,4,3,2
"22","AT",1,47,60,5,180,7,8,8
"23","AT",2,40,40,4,210,6,4,6
"24","AT",1,45,35,4,60,9,7,9
"25","AT",2,28,30,5,180,1,3,0
"26","AT",2,46,1,5,20,9,1,2
"27","AT",2,24,30,5,120,3,4,7
"28","AT",1,80,30,1,6666,9,8,9
"29","AT",2,46,60,5,120,4,8,6
"30","AT",2,55,90,2,6666,6,4,6
"31","AT",1,61,45,4,30,6,6,6
"32","AT",2,39,20,5,180,3,3,3
"33","AT",1,42,60,5,30,9,7,8
"34","AT",2,65,180,3,6666,6,5,6
"35","AT",2,77,30,1,6666,4,5,5
"36","AT",1,18,10,5,30,6,8,8
"37","AT",1,56,90,4,90,5,5,5
"38","AT",1,23,5,5,105,3,5,5
"39","AT",2,52,30,2,6666,9,10,8
"40","AT",1,55,60,5,120,6,3,3
"41","AT",2,75,60,1,6666,6,7,7
"42","AT",1,23,25,5,140,6,7,7
"43","AT",1,76,60,2,6666,9,8,7
"44","AT",2,59,30,5,30,7,7,5
"45","AT",2,49,30,4,60,7,4,4
"46","AT",2,70,45,1,6666,1,4,4
"47","AT",2,32,5,3,6666,7,6,6
"48","AT",2,64,20,5,9999,1,4,2
"49","AT",1,31,45,4,90,6,6,6
"50","AT",2,26,15,5,180,7,8,7
"51","AT",1,65,60,1,6666,7,7,7
"52","AT",2,23,30,5,120,5,5,6
"53","AT",1,70,45,1,6666,7,7,9
"54","AT",1,58,45,4,9999,5,6,6
"55","AT",1,38,360,5,420,10,10,3
"56","AT",1,19,0,5,180,9,8,8
"57","AT",2,61,60,5,9999,10,10,7
"58","AT",1,61,60,5,120,6,7,6
"59","AT",1,74,45,1,6666,7,7,8
"60","AT",2,28,5,5,16,7,7,6
"61","AT",1,49,60,5,120,3,0,0
"62","AT",1,42,30,5,60,7,8,7
"63","AT",2,21,0,5,300,10,10,5
"64","AT",2,27,20,5,120,8,7,8
"65","AT",1,66,90,3,6666,5,6,6
"66","AT",2,65,30,1,6666,10,7,5
"67","AT",2,49,120,5,120,2,4,4
"68","AT",2,18,15,5,120,6,8,2
"69","AT",2,55,9999,3,6666,2,5,4
"70","AT",2,55,60,5,60,7,7,7
"71","AT",2,68,60,1,6666,5,5,0
"72","AT",2,62,120,5,120,7,9,7
"73","AT",2,73,120,4,90,5,6,4
"74","AT",1,48,60,5,240,5,5,5
"75","AT",1,27,10,5,180,7,8,6
"76","AT",2,74,20,1,6666,3,88,6
"77","AT",1,23,15,5,60,7,8,7
"78","AT",2,52,30,3,6666,6,6,6
"79","AT",2,58,30,1,6666,3,9,7
"80","AT",1,23,60,5,45,4,5,5
