"","Tijdstempel","Student","Geslacht","Leeftijd","Woonsituatie","Opleiding","Postcode","Waardering","Menselijk","Aangenaam","Persoonlijk","Non.Verbale.Comm","Betrokkenheid","Recensies","Populariteit","Bedrijf"
"1","30-4-2018 13:07:58","Ja","Vrouw","21","Thuiswonend","MBO",7306,8,8,7,7,8,9,1,7,"ZARA"
"2","30-4-2018 13:08:59","Ja","Ik zie mijzelf niet als man of vrouw","23+","Uitwonend","HBO",7201,10,7,9,6,10,10,4,9,"ZARA"
"3","30-4-2018 13:10:25","Ja","Man","18","Thuiswonend","HAVO",7002,7,7,8,7,7,7,7,7,"ZARA"
"4","30-4-2018 13:10:31","Ja","Man","18","Thuiswonend","HAVO",7334,7,6,6,6,8,7,6,8,"ZARA"
"5","30-4-2018 13:17:27","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"6","30-4-2018 13:18:21","Ja","Ik zie mijzelf niet als man of vrouw","17 of jonger","Thuiswonend","VMBO",6882,4,5,7,5,9,3,7,8,"ZARA"
"7","30-4-2018 13:18:31","Ja","Vrouw","20","Thuiswonend","MBO",7002,7,7,8,7,8,6,6,7,"ZARA"
"8","30-4-2018 13:18:38","Ja","Man","18","Thuiswonend","HAVO",7333,8,6,7,7,7,7,7,7,"ZARA"
"9","30-4-2018 13:19:21","Ja","Vrouw","19","Thuiswonend","MBO",7041,7,7,7,6,9,6,5,8,"ZARA"
"10","30-4-2018 13:22:52","Ja","Vrouw","19","Thuiswonend","MBO",6951,8,6,7,6,8,7,8,8,"ZARA"
"11","30-4-2018 13:24:06","Ja","Man","19","Thuiswonend","MBO",7335,7,6,8,6,8,6,5,8,"ZARA"
"12","30-4-2018 13:29:36","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"13","30-4-2018 13:35:56","Ja","Vrouw","18","Thuiswonend","HAVO",6333,7,7,7,7,7,6,6,8,"ZARA"
