"","Tijdstempel","Student","Verzenden","Geslacht","Leeftijd","Device","Zoektijd.Verwacht","Zoektijd.Bereid","Begintijd","Eindtijd","Url","Prijs","Beginpunt","Tevredenheid","Bedrijf","Zoektijd"
"1","19-4-2018 16:47:10","Ja",NA,"Vrouw","24","Laptop","0-2 Minuten","Langer dan 10 minuten",16:47:00,16:47:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/?query=NUFFRA","7.99","Website van het merk",4,"IKEA",0
"2","19-4-2018 16:53:04","Ja",NA,"Vrouw","18","Mobiele telefoon","0-2 Minuten","0-2 minuten",16:51:00,16:51:00,"Ongeveer 1 minuut","8","Zoekmachine",4,"IKEA",0
"3","19-4-2018 17:01:32","Ja",NA,"Man","18","Mobiele telefoon","0-2 Minuten","0-2 minuten",17:00:00,17:01:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","8","Zoekmachine",4,"IKEA",60
"4","19-4-2018 17:08:40","Ja",NA,"Man","22","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:06:00,17:07:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","7.99","Zoekmachine",4,"IKEA",60
"5","19-4-2018 17:13:37","Ja",NA,"Vrouw","19","Mobiele telefoon","3-5 Minuten","3-5 minuten",17:11:00,17:12:00,"https://m.ikea.com/nl/nl/search/?query=Nuffra&_=1524150724540","7.99","Zoekmachine",4,"IKEA",60
"6","19-4-2018 17:26:07","Ja",NA,"Vrouw","17","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:24:00,17:25:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","7.99","Zoekmachine",4,"IKEA",60
"7","19-4-2018 17:26:24","Ja",NA,"Vrouw","21","Mobiele telefoon","3-5 Minuten","3-5 minuten",17:24:00,17:25:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","7.99","Zoekmachine",4,"IKEA",60
"8","19-4-2018 17:37:11","Ja",NA,"Vrouw","18","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",17:35:00,17:35:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","8","Zoekmachine",4,"IKEA",0
"9","19-4-2018 19:35:45","Ja",NA,"Vrouw","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",19:34:00,19:35:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","7.99","Zoekmachine",4,"IKEA",60
"10","19-4-2018 19:40:48","Nee","Verzenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IKEA",NA
"11","19-4-2018 21:39:53","Ja",NA,"Vrouw","19","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",21:38:00,21:39:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","7.99","Zoekmachine",4,"IKEA",60
"12","19-4-2018 21:51:12","Ja",NA,"Man","22","Laptop","0-2 Minuten","0-2 minuten",21:48:00,21:48:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/","7.99","Zoekmachine",1,"IKEA",0
"13","20-4-2018 8:25:01","Ja",NA,"Man","21","Mobiele telefoon","0-2 Minuten","6-9 minuten",08:24:00,08:24:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/","7.99","Zoekmachine",4,"IKEA",0
