"","Tijdstempel","Student","Postcode","Geslacht","Leeftijd","Merkbekendheid","Reclameactiviteiten","Webshop","Social.media","Koopfactoren","Online.vs.fysiek","Informatietevredenheid","Koopbereidheid","Aanbevelen","Online.niet.aanwezig","Menselijk.contact","Persoonlijke.aandacht","Verbinding","Menselijke.betrokkenheid","Non.verbale.comm","Houding.verkopers","Beeld.verkopers","Community","Informatie.gebruikers","Bedrijf"
"1","26/04/2018 12:51:11","Ja",3463,"Man","18","Ja","Maandelijks","Ja","Ja","Kwaliteit","Fysieke winkel",3,"Nee","Ja","Nee",3,3,3,3,3,3,3,3,3,"Eastpak"
"2","26/04/2018 12:32:32","Ja",5451,"Man","20","Ja","Nooit","Nee","Nee","Prijs","Online",1,"Nee","Ja","Nee",3,3,3,3,3,3,3,2,4,"Eastpak"
"3","26/04/2018 14:20:10","Ja",5451,"Man","22","Ja","Nooit","Ja","Ja","Prijs, Plaats, Kwaliteit","Online",4,"Ja","Ja","Ja",4,5,4,4,4,4,4,4,4,"Eastpak"
"4","23/05/2018 21:35:21","Ja",5452,"Man","21","Ja","Nooit","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,4,4,3,4,3,4,2,3,"Eastpak"
"5","23/05/2018 21:43:15","Ja",5452,"Man","19","Ja","Nooit","Ja","Ja","Prijs, Reclame, Kwaliteit","Online",4,"Ja","Nee","Nee",4,2,4,3,4,4,3,4,3,"Eastpak"
"6","23/05/2018 21:44:34","Ja",5452,"Man","18","Ja","Nooit","Ja","Ja","Prijs, Reclame, Kwaliteit","Online",4,"Ja","Ja","Nee",4,4,3,1,4,2,4,4,3,"Eastpak"
"7","26/04/2018 12:07:35","Ja",5454,"Man","20","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Ja",4,3,3,3,3,3,1,3,4,"Eastpak"
"8","26/04/2018 12:08:10","Ja",5454,"Man","20","Ja","Nooit","Nee","Ja","Prijs, Reclame, Plaats, Kwaliteit","Online",4,"Ja","Ja","Ja",3,2,2,3,3,2,1,3,3,"Eastpak"
"9","26/04/2018 12:56:24","Ja",5454,"Man","19","Ja","Nooit","Nee","Nee","Prijs, Kwaliteit","Online",5,"Nee","Ja","Nee",3,3,3,3,4,3,1,3,2,"Eastpak"
"10","26/04/2018 20:22:34","Ja",5454,"Man","20","Ja","Nooit","Ja","Nee","Prijs, Kwaliteit","Online",3,"Ja","Ja","Nee",3,3,3,3,3,3,3,3,3,"Eastpak"
"11","23/05/2018 21:30:30","Ja",5454,"Man","19","Ja","Maandelijks","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Nee",2,3,3,3,3,3,3,2,2,"Eastpak"
"12","23/05/2018 21:31:15","Ja",5454,"Man","17 of jonger","Ja","Nooit","Ja","Ja","Prijs, Reclame, Kwaliteit","Online",4,"Ja","Ja","Ja",4,4,4,2,3,3,2,4,2,"Eastpak"
"13","23/05/2018 21:36:38","Ja",5454,"Man","26 en ouder","Ja","Nooit","Ja","Nee","Prijs, Kwaliteit","Online",4,"Ja","Ja","Nee",4,3,3,4,3,4,4,2,3,"Eastpak"
"14","23/05/2018 21:39:55","Ja",5454,"Man","22","Ja","Nooit","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,4,3,2,3,2,4,3,3,"Eastpak"
"15","23/05/2018 21:41:14","Ja",5454,"Man","22","Ja","Nooit","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,3,4,3,4,3,3,3,3,"Eastpak"
"16","23/05/2018 21:41:57","Ja",5454,"Man","19","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Ja",4,3,4,3,5,4,4,4,3,"Eastpak"
"17","23/05/2018 21:42:39","Ja",5454,"Man","22","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Ja",4,4,3,3,4,3,2,4,3,"Eastpak"
"18","23/05/2018 21:46:03","Ja",5454,"Man","19","Ja","Nooit","Ja","Ja","Reclame, Kwaliteit","Online",4,"Ja","Ja","Nee",4,3,4,3,3,4,2,4,3,"Eastpak"
"19","23/05/2018 21:48:19","Ja",5454,"Man","18","Ja","Nooit","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Nee",4,3,3,3,2,4,3,2,4,"Eastpak"
"20","28/04/2018 17:36:09","Ja",5632,"Man","19","Ja","Nooit","Ja","Nee","Prijs","Online",3,"Nee","Ja","Nee",4,3,3,4,4,3,2,4,4,"Eastpak"
"21","23/05/2018 22:46:10","Ja",6333,"Man","19","Ja","Nooit","Ja","Nee","Prijs","Online",4,"Ja","Ja","Ja",4,5,3,4,3,5,5,4,4,"Eastpak"
"22","23/05/2018 22:38:32","Ja",6511,"Man","22","Ja","Nooit","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Online",3,"Ja","Ja","Nee",4,3,3,4,3,4,4,4,3,"Eastpak"
"23","23/05/2018 22:44:13","Ja",6511,"Man","17 of jonger","Ja","Nooit","Ja","Nee","Reclame, Plaats, Kwaliteit","Fysieke winkel",3,"Ja","Nee","Nee",4,3,3,4,4,3,3,4,4,"Eastpak"
