"","Tijdstempel","Bentustudent","Watisuwgeslacht","Watisuwleeftijd","Waaropmaaktudezeenquete","Hoelangverwachtuopzoektezijnnaardeprijsvandeondersta","Hoelangbentubereidomtezoekennaareenproduct","Vuluwbegintijdinengaopzoeknaardebovenstaandetas","Vuluweindtijdinvanhetzoekennaardebovenstaandetas","Voegdelinkvanhetresultaattoe","Watisdeprijsvanhetproductdieuheeftgevonden","Waarbentubegonnenmetzoeken","Inwelkematebentutevredenoverdezoektijd","Zoektijd"
"1","2018/04/19 3:59:17 p.m. EET","Ja","Vrouw","18","Laptop","0-2 Minuten","0-2 minuten",15:58:00,15:58:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI9OO2t7_G2gIVEpkbCh0qkwHAEAQYAyABEgJ1WfD_BwE",69,"Zoekmachine",4,"0"
"2","2018/04/19 4:10:26 p.m. EET","Ja","Man","23","Mobiele telefoon","0-2 Minuten","0-2 minuten",16:07:00,16:10:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html",80,"Zoekmachine",3,"180"
"3","2018/04/19 4:29:41 p.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",16:28:00,16:28:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvW0DQzK_baI7BPYaKrNY8cjpx3o6xjxjiU15ikJF75hRn9KS6YgvzQaAmvtEALw_wcB",75,"Zoekmachine",4,"0"
"4","2018/04/19 4:29:46 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:27:00,16:27:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVcCYoF0xBbmihZxZknF-h9eTHLMBvFms-mTpKNkSAwICYa9yWKIlsaApCOEALw_wcB",69,"Zoekmachine",4,"0"
"5","2018/04/19 4:34:12 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:31:00,16:32:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvUb7E7enA8gDWCPaNDlK3VGLl2RO6QlrDkGZlOHUxYJ4Rfn111clekaAmQxEALw_wcB",69,"Zoekmachine",2,"60"
"6","2018/04/19 4:35:43 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",16:34:00,16:34:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvUYhIgoKBHOxlTMd05FornMdTMjgdDQn4VGUjnDuS3CLGC17YG512caAnjzEALw_wcB",75,"Zoekmachine",4,"0"
"7","2018/04/19 4:37:02 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:35:00,16:35:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMIvpHs2cfG2gIVC0kZCh0CUQiWEAQYASABEgLMBPD_BwE",75,"Zoekmachine",4,"0"
"8","2018/04/19 4:37:17 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:32:00,16:32:00,"https://www.coolblue.nl/product/500327/eastpak-wyoming-black.html?tid=pla-357339211177&ref=324208&gclid=EAIaIQobChMIr9TGjsfG2gIVTWUZCh3LLg8iEAQYAiABEgLy4vD_BwE",52,"Zoekmachine",4,"0"
"9","2018/04/19 4:40:00 p.m. EET","Ja","Vrouw","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:38:00,16:39:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvU06Pa4PTpRRSijm8Gl0LHX5ceklEyrXAS5M_Fk8U34h_SDVnWXd8oaAg8oEALw_wcB",75,"Zoekmachine",3,"60"
"10","2018/04/19 5:00:27 p.m. EET","Ja","Man","19","Mobiele telefoon","0-2 Minuten","6-9 minuten",16:59:00,16:59:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVYJsKQ9w6BrRUgMTYDwpQdZcnCzyPU1R58uWnGyh33gQIn94JBN0waAsKeEALw_wcB",75,"Zoekmachine",4,"0"
