"","Tijdstempel","Bent u student","Wat is uw geslacht","Wat is uw leeftijd","Waarop maakt u deze enquete?","Hoelang verwacht u op zoek te zijn naar de prijs van de onderstaande klok? Deze klok is van Ikea","Bereidheid","Starttijd","Eindtijd","Link","Prijs","Bron","Tevredenheid","Zoektijd"
"1","2018/04/19 4:47:09 p.m. EET","Ja","Vrouw","24","Laptop","0-2 Minuten","Langer dan 10 minuten",16:47:00,16:47:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/?query=NUFFRA",7.99,"Website van het merk",4,"0"
"2","2018/04/19 5:01:31 p.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","0-2 minuten",17:00:00,17:01:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"60"
"3","2018/04/19 5:08:40 p.m. EET","Ja","Man","22","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:06:00,17:07:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"4","2018/04/19 5:13:36 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","3-5 minuten",17:11:00,17:12:00,"https://m.ikea.com/nl/nl/search/?query=Nuffra&_=1524150724540",7.99,"Zoekmachine",4,"60"
"5","2018/04/19 5:26:06 p.m. EET","Ja","Vrouw","17","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:24:00,17:25:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"6","2018/04/19 5:26:24 p.m. EET","Ja","Vrouw","21","Mobiele telefoon","3-5 Minuten","3-5 minuten",17:24:00,17:25:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"7","2018/04/19 5:37:10 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",17:35:00,17:35:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"0"
"8","2018/04/19 7:35:45 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",19:34:00,19:35:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"9","2018/04/19 9:39:53 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",21:38:00,21:39:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"10","2018/04/19 9:51:12 p.m. EET","Ja","Man","22","Laptop","0-2 Minuten","0-2 minuten",21:48:00,21:48:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",7.99,"Zoekmachine",1,"0"
"11","2018/04/20 8:25:00 a.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","6-9 minuten",08:24:00,08:24:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"12","2018/04/20 8:39:10 a.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",08:37:00,08:38:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"13","2018/04/20 10:08:53 a.m. EET","Ja","Vrouw","21","Mobiele telefoon","0-2 Minuten","6-9 minuten",10:07:00,10:08:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",8,"Zoekmachine",4,"60"
"14","2018/04/20 1:52:15 p.m. EET","Ja","Vrouw","23","Vaste computer","0-2 Minuten","3-5 minuten",13:51:00,13:51:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",7.99,"Zoekmachine",4,"0"
"15","2018/04/21 11:31:00 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","3-5 Minuten","3-5 minuten",23:28:00,23:29:00,"https://m.ikea.com/nl/nl/catalog/functional/10372/10759/",7.99,"Zoekmachine",4,"60"
"16","2018/04/21 11:31:19 p.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","0-2 minuten",23:29:00,23:30:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"60"
"17","2018/04/23 8:25:12 p.m. EET","Ja","Man","22","Mobiele telefoon","0-2 Minuten","3-5 minuten",20:20:00,20:23:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",3,"180"
